GPS_Time,Device_Time,Longitude,Latitude,GPS_Speed_(Meters/second),Horizontal_Dilution_of_Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),0-100kph_Time(s),0-100mph_Time(s),0-200kph_Time(s),0-30mph_Time(s),0-60mph_Time(s),1/4_mile_time(s),1/8_mile_time(s),100-0kph_Time(s),100-200kph_Time(s),40-60mph_Time(s),60-0mph_Time(s),60-120mph_Time(s),60-130mph_Time(s),60-80mph_Time(s),80-100mph_Time(s),80-120kph_Time(s),Absolute_Throttle_Position_B(%),Acceleration_Sensor(Total)(g),Acceleration_Sensor(X_axis)(g),Acceleration_Sensor(Y_axis)(g),Acceleration_Sensor(Z_axis)(g),Accelerator_PedalPosition_D(%),Accelerator_PedalPosition_E(%),Actual_engine_%_torque(%),Air_Fuel_Ratio(Commanded)(:1),Air_Fuel_Ratio(Measured)(:1),Ambient_air_temp(°C),Android_device_Battery_Level(%),Barometer_(on_Android_device)(mb),Barometric_pressure_(from_vehicle)(psi),Commanded_Equivalence_Ratio(lambda),Cost_per_mile/km_(Instant)(R$/km),Cost_per_mile/km_(Trip)(R$/km),CO2_in_g/km_(Average)(g/km),CO2_in_g/km_(Instantaneous)(g/km),Distance_to_empty_(Estimated)(km),Distance_travelled_since_codes_cleared(km),Distance_travelled_with_MIL/CEL_lit(km),DPF_Bank_1_Delta_Pressure(psi),Drivers_demand_engine_%_torque(%),EGR_Commanded(%),EGR _Error(%),Engine_kW_(At_the_wheels)(kW),Engine_Load(%),Engine_Load(Absolute)(%),Engine_reference_torque(Nm),Engine_RPM(rpm),Ethanol_Fuel_%(%),Evap_System_Vapour_Pressure(Pa),Exhaust_Pressure_Bank_1(psi),Fuel_cost_(trip)(cost),Fuel_flow_rate/hour(l/hr),Fuel_flow_rate/minute(cc/min),Fuel_Level_(From_Engine_ECU)(%),Fuel_pressure(psi),Fuel_Rail_Pressure(psi),Fuel_Rail_Pressure_(relative_to_manifold_vacuum)(psi),Fuel_Rate_(direct_from_ECU)(L/m),Fuel_Remaining_(Calculated_from_vehicle_profile)(%),Fuel_Trim_Bank_1_Long_Term(%),Fuel_Trim_Bank_1_Short_Term(%),Fuel_used_(trip)(l),GPS_Accuracy(m),GPS_Altitude(m),GPS_Bearing,GPS_Latitude,GPS_Longitude,GPS_vs_OBD_Speed_Difference(km/h),Horsepower_(At_The_Wheels)(hp),Hybrid_Battery_Charge_(%),Intake_Manifold_Pressure(psi),Kilometers_Per_Litre(Instant)(kpl),Kilometers_Per_Litre(Long_Term_Average)(kpl),Litres_Per_100_Kilometer(Instant)(l/100km),Litres_Per_100_Kilometer(Long_Term_Average)(l/100km),Mass_Air_Flow_Rate(g/s),Miles_Per_Gallon(Instant)(mpg),Miles_Per_Gallon(Long_Term_Average)(mpg),Percentage_of_City_driving(%),Percentage_of_Highway_driving(%),Percentage_of_Idle_driving(%),Relative_Accelerator_Pedal_Position(%),Relative_Throttle_Position(%),Run_Time_Since_Engine_Start(s),Speed_(GPS)(km/h),Speed_(OBD)(km/h),Throttle_Position(Manifold)(%),Torque(Nm),Trip_Average_KPL(kpl),Trip_Average_Litres/100_KM(l/100km),Trip_Average_MPG(mpg),Trip_Distance(km),Trip_Distance_(Stored_In_Vehicle_Profile)(km),Trip_Time(Since_Journey_Start)(s),Trip_Time(Whilst_Moving)(s),Trip_Time(Whilst_Stationary)(s),Turbo_Boost_And_Vacuum_Gauge(psi),Voltage(Control_Module)(V),Voltage(OBD_Adapter)(V),Volumetric_Efficiency(Calculated)(%),id,scenario,driver,vehicle,hour,heremaps_speed,heremaps_speeduncapped,heremaps_freeflow,heremaps_jamfactor
Thu Mar 10 17:40:13 GMT-03:00 2022,"44630,7362581829",-43.231518333333334,-19.62668,0.0,1.100000023841858,738.2,154.35000610351562,-0.1,6.15,8.62,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.06,-0.18,0.54,0.63,-,-,-,-,-,-,45,-,-,-,∞,0.84,156.29,-,363.96,-,0,-,-,-,-,-,-,-,-,771,-,-,-,0.44,0.98,16.28,-,-,-,-,-,39,-17.97,-0.78,0.06,1.1,738.2,154.35,-19.63,-43.23,0,-,-,3.92,0,14.36,-,6.97,-,0,40.55,77.37,0,22.63,-,-,-,0,0,3.53,-,14.43,6.93,40.76,0.85,80006.33,184.63,154.55,30.08,-10.78,-,13.8,-,1,1,1,1,17:40:12,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:14 GMT-03:00 2022,"44630,7362697454",-43.231518333333334,-19.62668,0.0,1.100000023841858,738.2,154.35000610351562,-1.62,6.3,7.23,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.02,-0.2,0.61,0.62,-,-,-,-,-,-,45,-,-,-,∞,0.84,156.29,-,363.92,-,0,-,-,-,-,-,-,-,-,775.25,-,-,-,0.44,0.96,16.04,-,-,-,-,-,39,-17.97,-0.78,0.06,1.1,738.2,154.35,-19.63,-43.23,0,-,-,3.92,0,14.35,-,6.97,-,0,40.55,76.88,0,23.12,-,-,-,0,0,3.53,-,14.42,6.93,40.74,0.85,80006.33,185.82,154.55,31.27,-10.78,-,13.8,-,1,1,1,1,17:40:13,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:15 GMT-03:00 2022,"44630,7362813079",-43.231518333333334,-19.62668,0.0,1.2999999523162842,738.2,154.35000610351562,-2.37,6.37,8.95,0.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-0.25,0.65,0.6,-,-,-,-,-,-,45,-,-,-,∞,0.84,156.29,-,363.92,-,0,-,-,-,-,-,-,-,-,775.25,-,-,-,0.44,0.96,16.04,-,-,-,-,-,39,-17.97,-4.69,0.06,1.3,738.2,154.35,-19.63,-43.23,0,-,-,3.92,0,14.35,-,6.97,-,0,40.55,76.56,0,23.44,-,-,-,0,0,3.53,-,14.42,6.93,40.74,0.85,80006.33,186.57,154.55,32.02,-10.78,-,13.9,-,1,1,1,1,17:40:14,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:16 GMT-03:00 2022,"44630,7362929167",-43.231518333333334,-19.62668,0.0,1.399999976158142,738.2,154.35000610351562,-2.15,6.72,7.25,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.05,-0.22,0.67,0.67,-,-,-,-,-,-,45,-,-,-,∞,0.85,156.29,-,363.88,-,0,-,-,-,-,-,-,-,-,781,-,-,-,0.45,0.97,16.13,-,-,-,-,-,39,-17.97,-4.69,0.06,1.4,738.2,154.35,-19.63,-43.23,0,-,-,3.92,0,14.35,-,6.97,-,0,40.54,76.07,0,23.93,-,-,-,0,0,3.53,-,14.41,6.94,40.71,0.85,80006.33,187.78,154.55,33.22,-10.78,-,13.9,-,1,1,1,1,17:40:15,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:17 GMT-03:00 2022,"44630,736304456",-43.231518333333334,-19.62668,0.0,1.5,738.2,154.35000610351562,-2.3,6.71,7.3,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03,-0.23,0.68,0.64,-,-,-,-,-,-,45,-,-,-,∞,0.85,156.29,-,363.88,-,0,-,-,-,-,-,-,-,-,781,-,-,-,0.45,0.97,16.13,-,-,-,-,-,39,-17.97,-1.56,0.06,1.5,738.2,154.35,-19.63,-43.23,0,-,-,3.92,0,14.35,-,6.97,-,0,40.54,75.76,0,24.24,-,-,-,0,0,3.53,-,14.41,6.94,40.71,0.85,80006.33,188.56,154.55,34.01,-10.78,-,13.8,-,1,1,1,1,17:40:16,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:18 GMT-03:00 2022,"44630,7363160648",-43.231518333333334,-19.62668,0.0,1.600000023841858,738.2,154.35000610351562,-1.17,6.21,5,-0.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-0.17,0.69,0.6,-,-,-,-,-,-,45,-,-,-,∞,0.86,156.29,-,363.84,-,0,-,-,-,-,-,-,-,-,769.5,-,-,-,0.45,0.98,16.25,-,-,-,-,-,39,-17.97,-6.25,0.06,1.6,738.2,154.35,-19.63,-43.23,0,-,-,3.92,0,14.35,-,6.97,-,0,40.54,75.21,0,24.79,-,-,-,0,0,3.53,-,14.4,6.94,40.69,0.85,80006.33,189.92,154.55,35.37,-10.78,-,13.8,-,1,1,1,1,17:40:17,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:19 GMT-03:00 2022,"44630,7363276157",-43.231518333333334,-19.62668,0.0,1.7000000476837158,738.2,154.35000610351562,0.33,-6.55,14.46,0.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.15,-0.22,-0.49,0.91,-,-,-,-,-,-,45,-,-,-,∞,0.86,156.29,-,363.84,-,0,-,-,-,-,-,-,-,-,769.5,-,-,-,0.45,0.98,16.25,-,-,-,-,-,39,-17.97,-6.25,0.06,1.7,738.2,154.35,-19.63,-43.23,0,-,-,3.92,0,14.35,-,6.97,-,0,40.54,74.84,0,25.16,-,-,-,0,0,3.53,-,14.4,6.94,40.69,0.85,80006.33,190.88,154.55,36.33,-10.78,-,13.9,-,1,1,1,1,17:40:18,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:20 GMT-03:00 2022,"44630,736339213",-43.231518333333334,-19.62668,0.0,1.7000000476837158,738.2,154.35000610351562,1.5,-3.34,9.09,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0.15,-0.34,0.82,-,-,-,-,-,-,45,-,-,-,∞,0.87,156.29,-,363.79,-,0,-,-,-,-,-,-,-,-,782,-,-,-,0.46,1,16.6,-,-,-,-,-,39,-17.97,0,0.06,1.7,738.2,154.35,-19.63,-43.23,0,-,-,4.06,0,14.35,-,6.97,-,0,40.54,74.46,0,25.54,-,-,-,0,0,3.53,-,14.4,6.95,40.67,0.85,80006.33,191.83,154.55,37.28,-10.64,-,13.9,-,1,1,1,1,17:40:19,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:21 GMT-03:00 2022,"44630,7363507523",-43.231518333333334,-19.62668,0.0,1.7999999523162842,738.2,154.35000610351562,0.52,-3.97,8.79,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.01,0.04,-0.4,0.79,-,-,-,-,-,-,45,-,-,-,∞,0.87,156.29,-,363.79,-,0,-,-,-,-,-,-,-,-,782,-,-,-,0.46,1,16.6,-,-,-,-,-,39,-17.97,0,0.06,1.8,738.2,154.35,-19.63,-43.23,0,-,-,4.06,0,14.35,-,6.97,-,0,40.54,74.09,0,25.91,-,-,-,0,0,3.53,-,14.4,6.95,40.67,0.85,80006.33,192.79,154.55,38.24,-10.64,-,13.8,-,1,1,1,1,17:40:20,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:22 GMT-03:00 2022,"44630,7363623495",-43.231518333333334,-19.62668,0.0,1.899999976158142,738.2,154.35000610351562,0.23,-3.25,9.13,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.02,0.03,-0.33,0.81,-,-,-,-,-,-,45,-,-,-,∞,0.87,156.29,-,363.75,-,0,-,-,-,-,-,-,-,-,769.75,-,-,-,0.46,0.98,16.27,-,-,-,-,-,39,-17.97,-5.47,0.06,1.9,738.2,154.35,-19.63,-43.23,0,-,-,3.92,0,14.35,-,6.97,-,0,40.53,73.67,0,26.33,-,-,-,0,0,3.53,-,14.39,6.95,40.65,0.85,80006.33,193.92,154.55,39.37,-10.78,-,13.8,-,1,1,1,1,17:40:21,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:23 GMT-03:00 2022,"44630,736373912",-43.231518333333334,-19.62668,0.0,2.0,738.2,154.35000610351562,-0.41,-3.13,9.23,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-0.04,-0.31,0.84,-,-,-,-,-,-,45,-,-,-,∞,0.87,156.29,-,363.75,-,0,-,-,-,-,-,-,-,-,769.75,-,-,-,0.46,0.98,16.27,-,-,-,-,-,39,-17.97,-5.47,0.06,2,738.2,154.35,-19.63,-43.23,0,-,-,3.92,0,14.35,-,6.97,-,0,40.53,73.31,0,26.69,-,-,-,0,0,6.27,-,14.39,6.95,40.65,0.85,80006.33,194.85,154.55,40.3,-10.78,-,13.9,-,1,1,1,1,17:40:22,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:24 GMT-03:00 2022,"44630,7363855093",-43.231518333333334,-19.62668,0.0,2.0999999046325684,738.2,154.35000610351562,0.21,-2.59,8.73,-0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.08,0.04,-0.25,0.77,-,-,-,-,-,-,45,-,-,-,∞,0.89,156.29,-,363.7,-,0,-,-,-,-,0.51,-,-,-,831.25,-,-,-,0.47,1.6,26.69,-,-,-,-,-,39,-17.97,-5.47,0.06,2.1,738.2,154.35,-19.63,-43.23,3,0.69,-,6.53,0,14.35,-,6.97,-,0,40.53,72.95,0,27.05,-,-,-,0,3,6.27,5.87,14.38,6.95,40.62,0.85,80006.33,195.81,155.12,40.69,-8.17,-,13.9,-,1,1,1,1,17:40:23,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:25 GMT-03:00 2022,"44630,7363970949",-43.231518333333334,-19.62668,0.0,2.0999999046325684,738.2,154.35000610351562,1.39,-3.62,8.28,-0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.11,-0.37,0.84,-,-,-,-,-,-,45,-,-,-,∞,0.89,156.29,-,363.7,-,0,-,-,-,-,0.51,-,-,-,831.25,-,-,-,0.47,1.6,26.69,-,-,-,-,-,39,-17.97,-5.47,0.06,2.1,738.2,154.35,-19.63,-43.23,3,0.69,-,6.53,0,14.35,-,6.97,-,0,40.53,72.59,0,27.41,-,-,-,0,3,7.45,5.87,14.38,6.95,40.62,0.85,80006.33,196.78,156.09,40.69,-8.17,-,13.9,-,1,1,1,1,17:40:24,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:26 GMT-03:00 2022,"44630,7364086574",-43.23148333333334,-19.626678333333334,1.3387924432754517,2.0999999046325684,738.1,114.70999908447266,0.96,-3.28,9.03,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.01,0.09,-0.33,0.82,-,-,-,-,-,-,45,-,-,-,∞,0.9,156.29,-,363.65,-,0,-,-,-,-,2.25,-,-,-,1276.5,-,-,-,0.47,1.73,28.83,-,-,-,-,-,38.99,-17.97,3.12,0.06,2.1,738.1,114.71,-19.63,-43.23,3.18,3.02,-,6.53,1.73,14.32,57.65,6.98,-,4.9,40.46,72.52,0,27.48,-,-,-,4.82,8,7.45,16.86,14.24,7.02,40.23,0.85,80006.34,197.72,157.03,40.69,-8.17,-,13.9,-,1,1,1,1,17:40:25,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:27 GMT-03:00 2022,"44630,7364202315",-43.23146499999999,-19.626685000000002,1.6584349870681763,2.200000047683716,738.1,115.5199966430664,0.93,-2.86,9.55,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.02,0.04,-0.23,0.84,-,-,-,-,-,-,45,-,-,-,7.25,0.92,156.29,-,362.98,-,0,-,-,-,-,2.25,-,-,-,1276.5,-,-,-,0.49,3.36,56.07,-,-,-,-,-,38.99,-17.97,3.12,0.07,2.2,738.1,115.52,-19.63,-43.23,3.18,3.02,-,8.27,2.38,14.3,42.05,6.99,-,6.72,40.39,72.69,0,27.31,-,-,-,5.97,8,10.2,16.86,14.11,7.09,39.86,0.85,80006.34,198.91,158.22,40.69,-6.43,-,13.9,-,1,1,1,1,17:40:26,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:28 GMT-03:00 2022,"44630,7364318056",-43.23144166666666,-19.626696666666664,3.165026903152466,2.0999999046325684,738.1,117.75,1.21,-3.06,9.47,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0.11,-0.24,0.85,-,-,-,-,-,-,45,-,-,-,7.25,0.92,156.29,-,362.98,-,0,-,-,-,-,2.7,-,-,-,3583.75,-,-,-,0.49,3.36,56.07,-,-,-,-,-,38.99,-17.97,0,0.07,2.1,738.1,117.75,-19.63,-43.23,0.61,3.62,-,8.27,2.38,14.3,42.05,6.99,-,6.72,40.39,72.79,0,27.21,-,-,-,11.39,12,10.2,7.19,14.11,7.09,39.86,0.86,80006.34,199.67,158.98,40.69,-6.43,-,13.9,-,1,1,1,1,17:40:27,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:29 GMT-03:00 2022,"44630,7364433565",-43.23140333333334,-19.62671333333333,4.309769153594971,2.0999999046325684,738.0,118.37999725341797,0.95,-2.89,9.22,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0.09,-0.29,0.83,-,-,-,-,-,-,45,-,-,-,92.79,0.99,156.29,-,362.29,-,0,-,-,-,-,2.7,-,-,-,3583.75,-,-,-,0.53,10.27,171.23,-,-,-,-,-,38.98,-17.97,0,0.07,2.1,738,118.38,-19.63,-43.23,0.61,3.62,-,8.99,1.17,14.27,85.61,7.01,-,3.3,40.31,72.96,0,27.04,-,-,-,15.52,12,8.63,7.19,13.97,7.16,39.46,0.86,80006.34,200.88,160.19,40.69,-5.71,-,14,-,1,1,1,1,17:40:28,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:30 GMT-03:00 2022,"44630,736454919",-43.231363333333334,-19.626736666666666,5.375244140625,2.0999999046325684,737.9,120.69000244140625,1.24,-3,9.4,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.02,0.09,-0.29,0.82,-,-,-,-,-,-,45,-,-,-,92.79,0.99,156.29,-,362.29,-,0,-,-,-,-,5.81,-,-,-,1518.25,-,-,-,0.53,10.27,171.23,-,-,-,-,-,38.98,-17.97,3.91,0.07,2.1,737.9,120.69,-19.63,-43.23,1.35,7.8,-,8.99,1.17,14.27,85.61,7.01,-,3.3,40.31,73.06,0,26.94,-,-,-,19.35,18,8.63,36.56,13.97,7.16,39.46,0.87,80006.35,201.66,160.97,40.69,-5.71,-,14,-,1,1,1,1,17:40:29,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:31 GMT-03:00 2022,"44630,7364665162",-43.231316666666665,-19.62677,6.15762186050415,2.0,737.9,123.37000274658203,0.94,-3.72,8.99,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.02,0.08,-0.35,0.8,-,-,-,-,-,-,45,-,-,-,15.81,1,162.95,422.94,361.6,-,0,-,-,-,-,5.81,-,-,-,1518.25,-,-,-,0.54,2.88,47.97,-,-,-,-,-,38.98,-17.97,3.91,0.07,2,737.9,123.37,-19.63,-43.23,1.35,7.8,-,5.95,6.25,14.25,15.99,7.02,-,17.67,40.27,73.21,0,26.79,-,-,-,22.17,18,10.59,36.56,13.89,7.2,39.23,0.87,80006.35,202.76,162.07,40.69,-8.75,-,13.9,-,1,1,1,1,17:40:30,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:32 GMT-03:00 2022,"44630,7364780787",-43.23126333333333,-19.626805,6.995589733123779,2.0,738.0,125.43000030517578,1.15,-4.4,9.13,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.04,0.11,-0.44,0.83,-,-,-,-,-,-,45,-,-,-,15.81,1,162.95,422.94,361.6,-,0,-,-,-,-,10.15,-,-,-,1934.75,-,-,-,0.54,2.88,47.97,-,-,-,-,-,38.98,-17.97,10.16,0.07,2,738,125.43,-19.63,-43.23,0.18,13.61,-,5.95,6.25,14.25,15.99,7.02,-,17.67,40.27,73.36,0,26.64,-,-,-,25.18,25,4.71,50.11,13.89,7.2,39.23,0.88,80006.37,203.9,163.2,40.69,-8.75,-,13.9,-,1,1,1,1,17:40:31,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:33 GMT-03:00 2022,"44630,7364896644",-43.23121,-19.626846666666665,7.325011730194092,1.899999976158142,737.9,128.2899932861328,1.29,-4.13,9.2,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11,0.12,-0.51,0.88,-,-,-,-,-,-,45,-,-,-,20.84,1,165.23,256.34,361.17,-,0,-,-,-,-,10.15,-,-,-,819.25,-,-,-,0.55,2.42,40.38,-,-,-,-,-,38.98,-17.97,10.16,0.08,1.9,737.9,128.29,-19.63,-43.23,0.18,13.61,-,3.92,10.32,14.25,9.69,7.02,-,29.15,40.25,73.48,0,26.52,-,-,-,26.37,25,4.71,50.11,13.85,7.22,39.12,0.88,80006.37,204.87,164.18,40.69,-10.78,-,14,-,1,1,1,1,17:40:32,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:34 GMT-03:00 2022,"44630,7365012384",-43.23115500000001,-19.626888333333333,7.171110153198242,1.899999976158142,737.9,128.77999877929688,1.29,-4.65,8.27,-0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.03,0.04,-0.4,0.77,-,-,-,-,-,-,45,-,-,-,20.84,1,165.23,256.34,361.17,-,0,-,-,-,-,10.15,-,-,-,819.25,-,-,-,0.55,2.42,40.38,-,-,-,-,-,38.98,-17.97,0,0.08,1.9,737.9,128.78,-19.63,-43.23,0.82,13.61,-,3.92,10.32,14.25,9.69,7.02,-,29.15,40.25,73.61,0,26.39,-,-,-,25.82,25,3.92,50.11,13.85,7.22,39.12,0.9,80006.38,205.82,165.13,40.69,-10.78,-,14,-,1,1,1,1,17:40:33,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:35 GMT-03:00 2022,"44630,7365127894",-43.2311,-19.626928333333336,6.8828654289245605,1.899999976158142,737.9,129.61000061035156,1.01,-5.78,8.27,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03,0.1,-0.58,0.74,-,-,-,-,-,-,45,-,-,-,20.11,0.99,164.17,120.61,360.96,-,0,-,-,-,-,10.15,-,-,-,788,-,-,-,0.55,1.14,19,-,-,-,-,-,38.98,-17.97,0,0.08,1.9,737.9,129.61,-19.63,-43.23,0.82,13.61,-,4.35,21.93,14.26,4.56,7.01,-,61.95,40.29,73.73,0,26.27,-,-,-,24.78,25,3.92,50.11,13.93,7.18,39.36,0.9,80006.38,206.82,166.12,40.69,-10.35,-,13.9,-,1,1,1,1,17:40:34,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:36 GMT-03:00 2022,"44630,7365243866",-43.23105333333333,-19.626963333333332,5.932688236236572,1.899999976158142,737.9,131.47000122070312,0.8,-5.49,7.97,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.07,-0.51,0.77,-,-,-,-,-,-,45,-,-,-,20.11,0.99,164.17,120.61,360.96,-,0,-,-,-,-,-,-,-,-,788,-,-,-,0.55,1.14,19,-,-,-,-,-,38.98,-17.97,0.78,0.08,1.9,737.9,131.47,-19.63,-43.23,1.36,-,-,4.35,21.93,14.26,4.56,7.01,-,61.95,40.29,73.86,0,26.14,-,-,-,21.36,20,3.92,-,13.93,7.18,39.36,0.91,80006.39,207.8,167.11,40.69,-10.35,-,13.9,-,1,1,1,1,17:40:35,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:37 GMT-03:00 2022,"44630,7365359722",-43.23101833333333,-19.626993333333335,4.652059555053711,1.899999976158142,737.8,130.77999877929688,0.92,-4.11,8.72,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0.08,-0.42,0.79,-,-,-,-,-,-,45,-,-,-,0.54,0.98,163.5,135.34,361.34,-,0,-,-,-,-,-,-,-,-,804,-,-,-,0.56,1.02,17.06,-,-,-,-,-,38.98,-17.97,0.78,0.08,1.9,737.8,130.78,-19.63,-43.23,1.36,-,-,4.06,19.54,14.27,5.12,7.01,-,55.21,40.32,73.98,0,26.02,-,-,-,16.75,20,3.92,-,13.99,7.15,39.53,0.91,80006.39,208.8,168.11,40.69,-10.64,-,13.8,-,1,1,1,1,17:40:36,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:38 GMT-03:00 2022,"44630,7365475347",-43.23099333333333,-19.62701666666667,3.6699695587158203,1.899999976158142,737.8,134.75,0.97,-4.3,8.69,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0.09,-0.43,0.78,-,-,-,-,-,-,45,-,-,-,0.54,0.98,163.5,135.34,361.34,-,0,-,-,-,-,-,-,-,-,804,-,-,-,0.56,1.02,17.06,-,-,-,-,-,38.98,-17.97,1.56,0.08,1.9,737.8,134.75,-19.63,-43.23,5.75,-,-,4.06,19.54,14.27,5.12,7.01,-,55.21,40.32,74.1,0,25.9,-,-,-,13.21,11,3.53,-,13.99,7.15,39.53,0.92,80006.4,209.73,169.04,40.69,-10.64,-,13.8,-,1,1,1,1,17:40:37,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:39 GMT-03:00 2022,"44630,7365590741",-43.23097500000001,-19.627033333333333,2.7115566730499268,2.0,737.8,135.08999633789062,0.89,-4.49,8.59,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.04,0.09,-0.43,0.74,-,-,-,-,-,-,45,-,-,-,0.77,0.98,163.5,-,361.6,-,0,-,-,-,-,-,-,-,-,784.5,-,-,-,0.56,1.04,17.4,-,-,-,-,-,38.98,-17.97,1.56,0.08,2,737.8,135.09,-19.63,-43.23,3.76,-,-,4.06,10.53,14.27,9.49,7.01,-,29.76,40.3,74.24,0,25.76,-,-,-,9.76,6,3.53,-,13.96,7.17,39.42,0.92,80006.4,210.91,170.22,40.69,-10.64,-,13.9,-,1,1,1,1,17:40:38,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:40 GMT-03:00 2022,"44630,7365706713",-43.23096333333333,-19.627048333333335,2.219996929168701,2.0,737.7,132.11000061035156,1.05,-4.19,8.78,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.02,0.1,-0.42,0.77,-,-,-,-,-,-,45,-,-,-,0.77,0.98,163.5,-,361.6,-,0,-,-,-,-,-,-,-,-,784.5,-,-,-,0.56,1.04,17.4,-,-,-,-,-,38.98,-17.97,3.12,0.08,2,737.7,132.11,-19.63,-43.23,3.76,-,-,4.06,10.53,14.27,9.49,7.01,-,29.76,40.3,74.34,0,25.66,-,-,-,7.99,6,3.53,-,13.96,7.17,39.42,0.92,80006.4,211.7,171.01,40.69,-10.64,-,13.9,-,1,1,1,1,17:40:39,"25,24","25,24","31,66","7,17484"
Thu Mar 10 17:40:41 GMT-03:00 2022,"44630,7365822454",-43.230954999999994,-19.627056666666665,1.2940117120742798,2.0,737.7,132.11000061035156,1.03,-4.05,8.81,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0.09,-0.41,0.79,-,-,-,-,-,-,45,-,-,-,1.4,0.99,163.5,-,361.41,-,0,-,-,-,-,-,-,-,-,781.25,-,-,-,0.56,0.98,16.37,-,-,-,-,-,38.98,-17.97,3.12,0.08,2,737.7,132.11,-19.63,-43.23,2.66,-,-,3.92,6.11,14.25,16.37,7.02,-,17.25,40.25,74.39,0,25.61,-,-,-,4.66,2,3.53,-,13.88,7.21,39.2,0.92,80006.41,212.88,172.19,40.69,-10.78,-,13.9,-,1,1,1,1,17:40:40,"25,24","25,24","31,66","7,17484"
